Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
21/03/2017;0,31;0,46;Muy buena / Oso ona;4;28;62;Buena / Ona;34;46;;Sin datos / Daturik gabe;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;323;87;1010,8;8,8;9,8;1,38;Buena / Ona
20/03/2017;0,19;0,23;Muy buena / Oso ona;3;11;29;Muy buena / Oso ona;16;65;80;Buena / Ona;25;Muy buena / Oso ona;19;Buena / Ona;2;Muy buena / Oso ona;333;76;1011,1;8,9;11,3;0,54;Buena / Ona
19/03/2017;0,19;0,3;Muy buena / Oso ona;4;15;31;Muy buena / Oso ona;22;57;82;Buena / Ona;18;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;31;76;1014,6;28;10,7;0,5;Buena / Ona
18/03/2017;0,17;;Sin datos / Daturik gabe;3;14;41;Muy buena / Oso ona;18;61;77;Buena / Ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;58;75;1018;15,9;11,8;0,88;Buena / Ona
17/03/2017;;;Sin datos / Daturik gabe;3;13;37;Muy buena / Oso ona;18;68;82;Buena / Ona;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;328;83;1017,1;16,1;12,2;1,66;Buena / Ona
16/03/2017;0,24;0,31;Muy buena / Oso ona;3;19;44;Muy buena / Oso ona;25;64;88;Buena / Ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;166;56;1012,7;27,2;16,7;1,53;Buena / Ona
15/03/2017;0,26;0,29;Muy buena / Oso ona;5;20;61;Buena / Ona;28;55;76;Buena / Ona;35;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;17;82;1020,8;24,7;13;0,62;Buena / Ona
14/03/2017;0,23;0,25;Muy buena / Oso ona;2;6;11;Muy buena / Oso ona;10;65;74;Buena / Ona;23;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;6;85;1026,1;20,5;12,8;1,13;Buena / Ona
13/03/2017;0,17;0,21;Muy buena / Oso ona;3;3;4;Muy buena / Oso ona;7;75;83;Buena / Ona;26;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;348;85;1022,1;3,1;10,6;3,36;Buena / Ona
12/03/2017;0,17;0,2;Muy buena / Oso ona;4;7;41;Muy buena / Oso ona;13;75;84;Buena / Ona;25;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;317;84;1014,2;9,1;11,2;6,59;Buena / Ona
11/03/2017;0,32;0,49;Muy buena / Oso ona;6;28;69;Buena / Ona;37;51;85;Buena / Ona;30;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;320;70;1010,6;17,8;14,6;2,66;Buena / Ona
