Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
10/05/2017;72;83;Buena / Ona;207;66;934,1;0;206,8;15,8;1,02;Buena / Ona
09/05/2017;60;87;Buena / Ona;155;63;941,6;0;166,9;14,7;0,19;Buena / Ona
08/05/2017;57;89;Buena / Ona;14;63;951,2;0;234,8;11,8;0,66;Buena / Ona
07/05/2017;65;87;Buena / Ona;32;62;953,7;0;261,3;12,7;0,86;Buena / Ona
06/05/2017;74;82;Buena / Ona;255;60;948,2;0;278,3;12,6;1,71;Buena / Ona
05/05/2017;78;83;Buena / Ona;185;64;940,5;0,1;189,4;15,6;1,21;Buena / Ona
04/05/2017;56;95;Buena / Ona;278;78;943,3;0;203,1;14,1;0,27;Buena / Ona
03/05/2017;49;80;Buena / Ona;359;80;948,2;0;258,4;11,5;0,57;Buena / Ona
02/05/2017;46;67;Buena / Ona;25;73;951,8;0;140,3;11,9;0,69;Buena / Ona
01/05/2017;60;82;Buena / Ona;294;65;950,4;0;244,8;8,6;0,37;Buena / Ona
30/04/2017;71;87;Buena / Ona;219;75;940,1;0,1;99,2;8,6;1,86;Buena / Ona
29/04/2017;63;82;Buena / Ona;152;65;941,9;0;227,9;9,6;2,35;Buena / Ona
28/04/2017;69;95;Buena / Ona;20;64;948,8;0;288,1;7,2;0,79;Buena / Ona
27/04/2017;74;85;Buena / Ona;8;67;949,1;0;207,8;4,6;1,29;Buena / Ona
26/04/2017;77;78;Buena / Ona;5;77;945,4;0;85,6;5;1,82;Buena / Ona
25/04/2017;64;89;Buena / Ona;6;74;941,6;0,1;116,7;11,5;0,72;Buena / Ona
24/04/2017;75;107;Mejorable / Hobetzeko modukoa;329;60;946,2;0;255,1;12,7;0,52;Mejorable / Hobetzeko modukoa
23/04/2017;89;121;Mejorable / Hobetzeko modukoa;348;53;950,1;0;288,4;11,6;0,23;Mejorable / Hobetzeko modukoa
22/04/2017;89;112;Mejorable / Hobetzeko modukoa;294;44;953,8;0;286,3;12,2;0,29;Mejorable / Hobetzeko modukoa
21/04/2017;77;106;Mejorable / Hobetzeko modukoa;86;45;955,8;0;288,9;10,9;0,67;Mejorable / Hobetzeko modukoa
20/04/2017;74;100;Buena / Ona;17;46;955,1;0;289,7;8,4;0,73;Buena / Ona
19/04/2017;87;102;Mejorable / Hobetzeko modukoa;19;43;953,8;0;286,3;9,1;2;Mejorable / Hobetzeko modukoa
18/04/2017;73;88;Buena / Ona;14;70;952,6;0;242,1;10,6;1,39;Buena / Ona
17/04/2017;65;84;Buena / Ona;25;75;952,1;0;252,8;10,5;1,04;Buena / Ona
16/04/2017;68;78;Buena / Ona;17;69;955,2;0;257,6;11,2;0,93;Buena / Ona
15/04/2017;69;82;Buena / Ona;358;72;954,9;0;78,6;11,1;0,99;Buena / Ona
14/04/2017;72;89;Buena / Ona;15;68;951,3;0;237,9;10,9;1,32;Buena / Ona
13/04/2017;63;105;Mejorable / Hobetzeko modukoa;17;65;950,5;0;252,1;11,6;0,5;Mejorable / Hobetzeko modukoa
12/04/2017;52;89;Buena / Ona;21;76;952,8;0;252,1;10,1;0,48;Buena / Ona
11/04/2017;82;95;Buena / Ona;9;73;956,1;0;243,7;11,1;1,47;Buena / Ona
10/04/2017;64;101;Mejorable / Hobetzeko modukoa;12;66;956,1;0;249,5;12;0,91;Mejorable / Hobetzeko modukoa
09/04/2017;76;107;Mejorable / Hobetzeko modukoa;261;46;953,4;0;258,7;13,8;0,35;Mejorable / Hobetzeko modukoa
08/04/2017;65;104;Mejorable / Hobetzeko modukoa;261;58;951,1;0;253,1;13,3;0,11;Mejorable / Hobetzeko modukoa
07/04/2017;58;78;Buena / Ona;291;75;952,1;0;246,1;9,7;0,2;Buena / Ona
06/04/2017;75;88;Buena / Ona;5;70;955,3;0;178,7;10,4;1,55;Buena / Ona
05/04/2017;63;67;Buena / Ona;2;81;956,8;0;68,4;8,7;1,66;Buena / Ona
04/04/2017;65;77;Buena / Ona;4;77;957,7;0;118,2;9,7;1,44;Buena / Ona
03/04/2017;58;81;Buena / Ona;1;73;955,6;0;241,1;9,3;0,76;Buena / Ona
02/04/2017;77;86;Buena / Ona;321;75;954,7;0;108,7;7,5;1,37;Buena / Ona
01/04/2017;78;88;Buena / Ona;298;70;951,5;0;140,6;8,9;1,78;Buena / Ona
31/03/2017;73;94;Buena / Ona;252;58;949,8;0;170,2;13,3;1,52;Buena / Ona
30/03/2017;64;97;Buena / Ona;156;57;952,8;0;190,5;14,3;1,49;Buena / Ona
29/03/2017;51;85;Buena / Ona;223;58;956,8;0;219,8;12,7;0,22;Buena / Ona
28/03/2017;64;93;Buena / Ona;250;59;956,3;0;204;12,1;1,99;Buena / Ona
27/03/2017;75;92;Buena / Ona;151;65;948,2;0;165,4;10,9;3,52;Buena / Ona
26/03/2017;75;91;Buena / Ona;133;65;944,8;0;214,5;9,8;2,72;Buena / Ona
25/03/2017;78;85;Buena / Ona;248;85;943,4;0,1;27,8;3,8;2,21;Buena / Ona
24/03/2017;59;85;Buena / Ona;21;60;945,3;0;184;6,4;0,73;Buena / Ona
23/03/2017;77;85;Buena / Ona;237;55;940,2;0;167,2;4,7;2,77;Buena / Ona
22/03/2017;69;76;Buena / Ona;231;70;941,5;0;84,7;6,1;3,16;Buena / Ona
21/03/2017;60;67;Buena / Ona;344;79;948,8;0;30,2;7,5;0,44;Buena / Ona
20/03/2017;50;65;Buena / Ona;15;78;948,5;0;173,3;8,7;1,31;Buena / Ona
19/03/2017;46;68;Buena / Ona;6;76;951,4;0;183,8;9,2;1,05;Buena / Ona
18/03/2017;63;77;Buena / Ona;10;73;955;0;173,7;9,6;1,29;Buena / Ona
17/03/2017;52;73;Buena / Ona;7;64;954,2;0;190,1;10,4;1,09;Buena / Ona
16/03/2017;53;;Sin datos / Daturik gabe;171;58;953,3;0;193,5;11,9;0,15;Sin datos / Daturik gabe
15/03/2017;51;77;Buena / Ona;8;75;958,1;0;184;11,1;0,46;Buena / Ona
14/03/2017;67;78;Buena / Ona;14;76;962,1;0;155,3;9,9;1,87;Buena / Ona
