OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
4	Gta. Santa MarÝa de la Cabeza	Doctor Vallejo Nßjera, 2	10	false
5	"Centro Servicios Sociales y Mayores ""Luis Vives"""	Hermanos García Noblejas, 160	10	false
6	"Intercambiador ""Avenida de AmÚrica"""	Av. AmÚrica, 7	10	false
7	PoliclÝnica Universitaria Alfonso X El Sabio	Albarracín, 35	10	false
8	A.G. Seguridad y Movilidad	Julian Camarillo, 6-8 y Albarracín	8	false
9	Retiro (esquina O'Donnell)	MenÚndez Pelayo, 9	10	false
10	Retiro (Ibiza)	Av. MenÚndez Pelayo, 35	10	true
1218	"Instalaciones Deportivas Universidad Complutense ""Zona Norte"""	Av. Complutense, s/n	8	false
12	"Centro de Salud ""Pontones"""	Ronda de Segovia, 52	10	false
13	Agencia para el Empleo de Madrid	Paseo Pontones, 10	10	false
14	Biblioteca Retiro	Doctor Esquerdo, 189	10	false
15	Agencia Estatal de Administraci¾n Tributaria	María de Molina, 48	6	false
16	"Centro Comercial ""Las Rosas"""	Av. Guadalajara, 2	10	false
17	"Centro Deportivo Municipal ""Fuente del Berro"""	Elvira, 31	10	false
18	Oficina de Atenci¾n Integral al Contribuyente	Sacramento, 10	10	false
19	"Colegio ""Valdeluz"""	Ginzo de Limia, 47	10	false
20	O' Donnell	O'Donnell, 36	10	false
21	Retiro (Doce de Octubre)	Av. MenÚndez Pelayo, 61	10	false
22	Plaza del Embarcadero de Atocha	Paseo Infanta Isabel, 2	50	false
23	Concentraci¾n de oficinas	Raimundo Fernßndez Villaverde, 36	10	false
24	"Metro ""Canillejas"""	Alcala, 628	10	false
25	"Biblioteca ""Buero Vallejo"""	Bolta±a, 21	10	false
26	"JMD ""San Blas"""	Av. Arcentales, 28	10	false
27	"Metro ""Nuevos Ministerios"""	Paseo Castellana, 67	10	false
28	"Metro ""Nuevos Ministerios"""	Paseo Castellana, 91	10	true
29	Circulo de Bellas Artes	Alcalß, 42	10	false
30	"CEIP ""Gabriela Mistral"""	Mirallos, 3	10	false
31	"Hotel ""Barcel¾ Torre Arias"""	Julißn Camarillo, 19	8	false
32	"Estaci¾n ""Atocha"""	MÚndez ßlvaro, 1	12	false
33	"Mercado ""Santa Maria de la Cabeza"""	Paseo Santa María de la Cabeza, 41	10	false
34	Gta. Santa MarÝa de la Cabeza	Gta. Santa María de la Cabeza	10	false
35	"Escuela Infantil Municial ""El Alba"""	Toledo, 181	10	false
36	"Colegio P·blico ""Legado Crespo"""	Paseo Acacias, 2	8	false
37	La Casa Encendida	Valencia, 32	10	false
38	Colegio de los Salesianos	Ronda de Atocha, 27	10	true
39	Consejeria de Medio Ambiente, Vivienda y Ordenaci¾n del Territorio	Ronda de Atocha, 17	10	false
40	"Instalaci¾n Deportiva Bßsica ""Moratalaz"""	Valdebernardo, s/n (lateral izquierdo)	10	true
41	"Instalaci¾n Deportiva Bßsica ""Moratalaz"""	Valdebernardo, s/n /(lateral derecho)	10	false
42	"Polideportivo ""Moratalaz"""	Encomienda de Palacios, 237	12	false
43	"Centro Deportivo Municipal ""Valdebernardo"""	Ladera de los Almendros, 2	5	false
44	"Polideportivo ""Palomeras"""	Av. Albufera - Cocherón de la Villa	10	false
45	"Metro ""Miguel Hernßndez"""	Av. Albufera, 285	10	false
46	"Polideportivo ""Puente de Vallecas"""	Payaso Fofó - Arroyo del Olivar	10	false
47	"Bulevar ""Pe±a Gorbea"""	Pe±a Gorbea, 13	10	true
48	"Metro ""Puente de Vallecas"""	Monte Ulía	10	false
49	Ejes principales del Plan Director	Costa Rica, 30	10	false
50	"Polideportivo ""ChamartÝn"""	Av. Pio XII, 2	10	false
51	Juzgados Plaza de Castilla	EstÚbanez Calderón, 5	10	false
52	"Colegio P·blico ""JosÚ Ortega y Gasset"""	Plaza de ?ngel Carbajo	10	false
53	MarÝa de Molina	María de Molina, 62	10	false
54	?rea de Familia y Servicios Sociales	JosÚ Ortega y Gasset, 100	8	false
55	Universidad Rey Juan Carlos	Plaza de Manuel Becerra, 14	10	false
56	"Parque ""Eva Duarte de Per¾n"""	Plaza de Manuel Becerra, 8	10	false
57	Centro Cultural Buenavista	Av. Toreros, 5	10	false
58	"Parque ""BerlÝn"""	Ramón y Cajal	10	false
59	"Parque del ""General Per¾n"""	Av. General Perón, 32	10	false
60	"Metro ""Francos RodrÝguez"""	Gta. Rocío Durcal	10	false
61	CEIP ôMarquÚs de Suanzesö	Av. 25 de Septiembre, 1	10	false
62	"Polideportivo ""Concepcion Arenal"""	Virgen del Portillo s/n	10	false
63	"Colegio ""Coraz¾n de MarÝa"""	Zigia, 1	14	true
64	"Metro ""Plaza ElÝptica"""	Fernßndez Ladreda - Paseo Santa María de la Cabeza	10	false
65	"Centro Comercial ""Campo de las Naciones"""	Av. Andes, 50	12	false
66	"Colegio ""Ciudad de Guadalajara"""	Rioja, 23	10	false
67	"Metro ""Alameda de Osuna"""	Rioja, 13	10	false
68	"Metro ""El Capricho"""	Velero	6	false
69	"Metro ""El Capricho"""	Velero	10	false
70	"CEIP ""Siglo XXI"""	Lituania, 8	10	false
71	JardÝn Botßnico Universidad Complutense	Av. Complutense - JosÚ Antonio Novais	25	false
72	Ministerio de Fomento	Plaza de San Juan de la Cruz, s/n	10	false
73	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	30	false
74	"Centro Comercial ""La Gavia"""	Adolfo Bioy Casares, 2	30	false
75	"Instalaci¾n Deportiva Municipal ""Alfredo Goyeneche"""	H·mera - Arroyo de Pozuelo	10	false
76	"Centro Cultural ""La Elipa"""	Santa Felicidad, 41	10	false
77	"Estadio ""Vallehermoso"""	Av. Islas Filipinas y Santander	10	false
78	"IES ""PrÝncipe Felipe"""	Av. Monforte de Lemos, 24	10	false
79	"Instalaciones Deportivas Elementales ""Dep¾sito Tormenta"""	Arroyo Pozuelo - Enebro	10	false
80	"Instalaciones Deportivas Elementales ""Arroyo Pozuelo"""	Arroyo Pozuelo - Bardegueral	10	false
81	"Campo de futbol ""Nuestra Se±ora del Buen Camino"""	Ctra. H·mera - Arroyo Pozuelo	10	false
