COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
00333250;CALLE;DE;SOLEDAD CAZORLA;SOLEDAD CAZORLA;00022250;CALLE;DE;ALDEANUEVA DE LA VERA;ALDEANUEVA DE LA VERA;00525800;CALLE;DE;MUNTADAS;MUNTADAS
00726375;CALLE;DE LAS;SOLEDADES;SOLEDADES;00329600;AVENIDA;DE;CARABANCHEL ALTO;CARABANCHEL ALTO;31000018;CALLE;DE LOS;MORALES;MORALES
00726400;CALLE;DE;SOLER Y GONZALEZ;SOLER Y GONZÁLEZ;00393700;CALLE;DE;JESUS Y MARIA;JESÚS Y MARÍA;00273300;CALLE;DE LA;ESPADA;ESPADA
00726500;CALLE;DE LA;SOLERIA;SOLERÍA;00600500;CALLE;DE;POBLADURA DEL VALLE;POBLADURA DEL VALLE;00067900;CALLE;DE;ARCOS DE JALON;ARCOS DE JALÓN
00726530;PLAZA;DE LA;SOLIDARIDAD;SOLIDARIDAD;00342700;CALLE;;GRAN AVENIDA;GRAN AVENIDA;00607620;CALLE;DE;PRADOLONGO;PRADOLONGO
00726700;CALLE;DE;SOLSONA;SOLSONA;00441300;CALLE;DE;LOPEZ DE HOYOS;LÓPEZ DE HOYOS;00676900;AVENIDA;DE;SAN LUIS;SAN LUIS
00739000;CALLE;DE LA;SOMBRA;SOMBRA;00138200;PLAZA;DE;CARABANCHEL;CARABANCHEL;00014700;CALLE;DE;ALBA DE TORMES;ALBA DE TORMES
00726900;CALLE;DE LA;SOMBRERERIA;SOMBRERERÍA;00765600;CALLE;DE;VALENCIA;VALENCIA;00071000;CALLE;DE;ARGUMOSA;ARGUMOSA
00727000;CALLE;DEL;SOMBRERETE;SOMBRERETE;00432300;PLAZA;DE;LAVAPIES;LAVAPIÉS;00262000;CALLE;DE;EMBAJADORES;EMBAJADORES
00727100;CALLE;DE;SOMERA;SOMERA;00806800;CALLE;DE;ZUMAYA;ZUMAYA;00094700;CALLE;DE;BARRENCALLE;BARRENCALLE
00727200;CALLE;DE;SOMONTES;SOMONTES;00141550;AVENIDA;DEL;CARDENAL HERRERA ORIA;CARDENAL HERRERA ORIA;00016500;CALLE;DE;LA ALBERCA;LA ALBERCA
00905463;CARRETERA;DE;SOMONTES AL PALACIO DE LA REAL QUINTA;SOMONTES AL PALACIO DE LA REAL QUINTA;00563600;CARRETERA;DE;EL PARDO;EL PARDO;00905615;CARRETERA;DEL;PALACIO DE LA REAL QUINTA;PALACIO DE LA REAL QUINTA
00727300;CALLE;DE;SOMONTIN;SOMONTÍN;00621200;CALLE;DE;PURCHENA;PURCHENA;00001907;CALLE;DE;ALICUN;ALICÚN
00727400;CALLE;DEL;SOMORMUJO;SOMORMUJO;00779200;CALLE;DE;VICENTA PARRA;VICENTA PARRA;00072200;CALLE;DE;ARMENGOT;ARMENGOT
00727500;PLAZA;DEL;SOMORROSTRO;SOMORROSTRO;00228600;CALLE;DE LA;CHARCA VERDE;CHARCA VERDE;00446600;CALLE;DE;LUIS LARRAINZA;LUIS LARRAÍNZA
00905160;CARRETERA;DE;SOMOSAGUAS;SOMOSAGUAS;00001992;PUERTA;DE;SOMOSAGUAS;SOMOSAGUAS;00001995;GLORIETA;DE LA;ENCINA DEL TRILLO;ENCINA DEL TRILLO
00002288;CALLE;DE;SOMOSIERRA;SOMOSIERRA;00518800;CALLE;DE;MONTEMAYOR DE PILILLA;MONTEMAYOR DE PILILLA;00494300;CALLE;DE;MATAPOZUELOS;MATAPOZUELOS
00727700;CALLE;DE;SON BONET;SON BONET;00525800;CALLE;DE;MUNTADAS;MUNTADAS;00647100;CALLE;DEL;ROMPEDIZO;ROMPEDIZO
00727650;CALLE;DE LOS;SONDEOS;SONDEOS;00598090;CALLE;DE LA;PIROTECNIA;PIROTECNIA;00642450;CALLE;DE;RIVAS;RIVAS
00727800;CALLE;DE;SONDICA;SONDICA;00792100;CALLE;DE LA;VIRGEN DEL CAMINO;VIRGEN DEL CAMINO;00727700;CALLE;DE;SON BONET;SON BONET
00727801;CALLE;DE;SONSECA;SONSECA;00679400;CALLE;DE;SAN MELITON;SAN MELITÓN;00538300;AVENIDA;DE;NUESTRA SEÑORA DE FATIMA;NUESTRA SEÑORA DE FÁTIMA
00727900;CALLE;DE;SOPELANA;SOPELANA;00094700;CALLE;DE;BARRENCALLE;BARRENCALLE;00524700;CALLE;DE;MOTRICO;MOTRICO
00728000;CALLE;DE;SOPETRAN;SOPETRÁN;00803300;CALLE;DE;ZAPATOCA;ZAPATOCA;00347900;CALLE;DEL;GUALANDAY;GUALANDAY
00728100;CALLE;DE;SOR ANGELA DE LA CRUZ;SOR ÁNGELA DE LA CRUZ;00227600;PLAZA;DE;CUZCO;CUZCO;00114600;CALLE;DE;BRAVO MURILLO;BRAVO MURILLO
31000296;CALLE;DE;SOR JUANA INES DE LA CRUZ;SOR JUANA INÉS DE LA CRUZ;31000292;CALLE;DE;HOBBES;HOBBES;31000295;CALLE;DE;KELSEN;KELSEN
31001263;GLORIETA;DE;SOR JUSTA DOMINGUEZ DE VIDAURRETA;SOR JUSTA DOMÍNGUEZ DE VIDAURRETA;31000253;AVENIDA;DE;CAMILO JOSE CELA;CAMILO JOSÉ CELA;00596000;CALLE;DEL;PINTOR MORENO CARBONERO;PINTOR MORENO CARBONERO
00728200;CALLE;DE;SOR MARIA DE AGREDA;SOR MARÍA DE ÁGREDA;00776200;CALLE;DE LA;VEREDA DEL CARMEN;VEREDA DEL CARMEN;00428400;CALLE;DEL;LAGO CONSTANZA;LAGO CONSTANZA
00728300;CALLE;DEL;SORBE;SORBE;00059100;CALLE;DE;ANTONIO DE LEYVA;ANTONIO DE LEYVA;00697200;PASEO;DE;SANTA MARIA DE LA CABEZA;SANTA MARÍA DE LA CABEZA
00728400;CALLE;DEL;SORGO;SORGO;00216800;CALLE;DEL;COSMOS;COSMOS;00238800;PASEO;DE LA;DIRECCION;DIRECCIÓN
00728500;CALLE;DE;SORIA;SORIA;00743800;RONDA;DE;TOLEDO;TOLEDO;00002900;PASEO;DE LAS;ACACIAS;ACACIAS
